"","nick_name","age","gender","academic_study","ip_address"
"1","A2YCMT5BPA0AG9",8,"Male",3,"184"
"2","A27LGC4MU1R7PQ",2,"Male",3,"164"
"3","A18MC27WTCEBA2",3,"Male",2,"24"
"4","AB1X97ASE626Q",4,"Male",2,"59"
"5","A2460MAJX0NA82",4,"Male",5,"182"
"6","A2MPQFN5X7R4U5",3,"Female",3,"57"
"7","ABN92G6H73097",2,"Male",3,"28"
"8","A2DXEPC4QFV4R1",8,"Female",2,"110"
"9","A31LPSIQ9A7RWV",4,"Female",2,"133"
"10","AVHC83KXLJUOW",2,"Male",3,"90"
"11","A3HV3LXW29N30Q",3,"Female",4,"137"
"12","A2BL0NJ8A8X050",2,"Male",3,"32"
"13","A14WLAP6TCEKO0",3,"Male",3,"11"
"14","A1NFBKUYYVUYWF",8,"Female",5,"122"
"15","A1H6AZSS5DQ0KD",2,"Male",2,"186"
"16","AS8BGRD5QFUTQ",4,"Female",2,"179"
"17","A1102MP1CZI32V",2,"Male",3,"102"
"18","A2ZXWL91CNW04Z",2,"Female",3,"5"
"19","A2R9VWNAOREXQ7",3,"Female",5,"97"
"20","A1QTQISKEHWSKZ",3,"Male",3,"113"
"21","A2QEX61YIEGLL3",3,"Male",3,"6"
"22","AGFWV1U4CJXP5",4,"Female",3,"52"
"23","AGN9KSJLLFK1U",3,"Female",3,"89"
"24","AYSG3J2U3UF1Y",8,"Male",2,"123"
"25","A3J5KZUQO0EN8N",2,"Male",3,"91"
"26","A2SENAPNSXG9L",2,"Female",1,"199"
"27","AEY0183LLRYUX",2,"Male",2,"63"
"28","A2OFN0A5CPLH57",4,"Female",3,"175"
"29","ah31QLJ57XC8W",3,"Female",3,"2"
"30","A3N5L136KKW6AV",2,"Female",4,"93"
"31","AYXIDCIGUA037",6,"Male",3,"206"
"32","A30ZXZT1EVLB0T",2,"Female",3,"160"
"33","A2RB4WF5CDMEL9",10,"Female",3,"172"
"34","AK0S8EQHPETZQ",4,"Male",5,"38"
"35","ARVXIBUCA8WDZ",3,"Male",1,"185"
"36","AUI3R928P63B0",3,"Male",5,"29"
"37","A311S2J8UUQ7QR",3,"Male",2,"143"
"38","A36ZLJPURT0ILP",6,"Male",2,"131"
"39","A1R6ZLM9V362F7",4,"Male",3,"80"
"40","A2541C8MY0BYV3",3,"Male",2,"183"
"41","A2SNXA5HF2ZFE6",7,"Female",1,"95"
"42","AH28OMNQKFBRT",3,"Male",3,"50"
"43","A2AAY4VT9L71SY",3,"Male",1,"146"
"44","A2W3QPD493MHEI",3,"Male",3,"136"
"45","A338QNPKTOI7DF",2,"Male",5,"116"
"46","AV22FQTJNBUZT",4,"Female",3,"188"
"47","A2JRONMDBUJT3K",2,"Female",3,"34"
"48","A4SC8G0149GEG",2,"Male",2,"86"
"49","A18PW6Z2QDFL1M",3,"Male",3,"30"
"50","A2E2IQ99W6B7AV",2,"Male",3,"150"
"51","A2C7UETA9SL9SK",3,"Female",4,"100"
"52","AS4WHZ0EVURW",2,"Female",2,"48"
"53","A1R0689JPSQ3OF",6,"Male",3,"152"
"54","A2O2Q0LVWOWJ1G",6,"Female",2,"163"
"55","A3V1VK1A3NYN17",2,"Male",2,"189"
"56","A1XZOR0X09ZHJP",3,"Male",3,"140"
"57","A27BUT19WQ6P1O",4,"Male",3,"135"
"58","A1FHH3XEFEQYV7",6,"Male",3,"114"
"59","AEXYBW3COL9JM",7,"Male",3,"161"
"60","A21UA6O7ZFAIQJ",4,"Male",2,"176"
"61","A1XJ9VFOJ4LP2X",2,"Female",5,"196"
"62","A014570429HSF84",4,"Female",5,"149"
"63","A18FK1XR73EQ2W",4,"Male",3,"197"
"64","A3D2U4QF7821ZW",3,"Male",3,"166"
"65","A1C0P72V4V16QN",5,"Male",1,"139"
"66","A3TWIQ97PG95XC",2,"Male",2,"56"
"67","A1W9AZXUUXAXB1",3,"Male",2,"151"
"68","A2MGSKCPFIZIBY",4,"Male",3,"145"
"69","A39HEPIIRNKEHY",4,"Female",3,"13"
"70","ABVBS0ENW4EVH",6,"Male",3,"99"
"71","A39RI813AGKDFK",3,"Female",4,"39"
"72","A1MS3CMETP0350",3,"Male",2,"16"
"73","A1QS9R9N56Q1A6",7,"Female",2,"162"
"74","A1O901WTP8TNIE",5,"Female",4,"132"
"75","A14HW8I4RYHNC4",8,"Male",3,"153"
"76","A1HK7CR71C8BCA",5,"Female",3,"194"
"77","A2SJC9VRBGNC58",8,"Female",2,"84"
"78","A2J237J8KM3OCS",4,"Male",4,"26"
"79","A1TNQU9L5L62PL",3,"Female",3,"158"
"80","A1MIR0TP081SKT",3,"Female",5,"58"
"81","A1YM0IWPC72J7V",2,"Male",5,"19"
"82","A1SHLCA57M79E6",4,"Female",5,"22"
"83","A3FGT6EU39C6S4",6,"Male",3,"177"
"84","A1WA3VMWGQJPYS",2,"Female",2,"101"
"85","AH31QLJ57XC8W",3,"Female",4,"94"
"86","AJD3JOWNVDZD1",7,"Female",1,"119"
"87","A2ZRF4I5RTKN7G",5,"Female",3,"165"
"88","A39E9936894TJR",3,"Male",3,"126"
"89","ATJFUHXPYHISH",4,"Male",3,"85"
"90","ACNID00UIEL1T",2,"Male",2,"124"
"91","A1HH2KZIFLXRJL",2,"Male",2,"200"
"92","A27GZN1JOOIAUW",3,"Male",5,"104"
"93","A1QLJW2XZMA4G4",4,"Male",2,"157"
"94","A12U7YNO0GKNKZ",4,"Male",3,"9"
"95","A31KV6ETEFLOEM",4,"Female",3,"51"
"96","A2HM35CWB7IIFM",8,"Female",3,"180"
"97","A3NWOYU4B9XQ3D",2,"Male",3,"81"
"98","A3V0ECSC892EW9",3,"Female",2,"121"
"99","A2VBE0DAYKZ4BV",7,"Female",2,"41"
"100","A16ANYLVNPKCVG",4,"Male",3,"79"
"101","A2S4YDJ9UGAXFQ",3,"Male",3,"134"
"102","A1C57DJF1HCR3Q",4,"Female",2,"47"
"103","A3OV174HQJIJK8",6,"Male",3,"187"
"104","A207149DHAS89K",4,"Male",2,"49"
"105","A150GMV1YQWWB3",5,"Male",1,"203"
"106","A1KFGU5623A7H",9,"Female",3,"40"
"107","A3BUWQ5C39GRQC",4,"Female",5,"107"
"108","AFDC9A6Z60W2Z",6,"Male",2,"111"
"109","A2NA2OJT15COZY",4,"Male",1,"205"
"110","ARSKGAC1997RL",6,"Male",3,"141"
"111","A1TA30P0NOOGE2",4,"Male",3,"117"
"112","ABOEYY9Y0PFRI",6,"Female",3,"178"
"113","ANXJRYZDKHNDV",8,"Female",2,"207"
"114","A1U6A617Q95MTZ",4,"Female",3,"71"
"115","A2CY1G4VJV3G85",4,"Male",1,"118"
"116","AJ2YZ04L81F1A",3,"Male",3,"3"
"117","A3HKVC1X7EMZU",2,"Male",2,"144"
"118","A3579N2TITA69M",2,"Male",3,"171"
"119","A2EOOF9D135HQ1",5,"Male",1,"190"
"120","A3B7TNVOISSZ2O",5,"Male",5,"33"
"121","A1T56P6L5730HG",6,"Female",1,"14"
"122","A3OMUSG91MTI3H",2,"Female",1,"60"
"123","A39PO9G6REIKJ9",3,"Male",2,"74"
"124","A2YGAEODJ5SSF6",5,"Male",1,"12"
"125","A1S6C6EN8MPKC3",7,"Male",1,"147"
"126","A5YVMQWA2IYPF",5,"Male",3,"130"
"127","A3D61CCA0LVMWV",4,"Female",2,"73"
"128","AMPMTF5IAAMK8",4,"Male",5,"170"
"129","A1W045DUHMM4LZ",4,"Male",2,"103"
"130","A2JUHWRYPJJNUG",5,"Female",2,"128"
"131","A5F3DEDHBOKUV",3,"Male",3,"195"
"132","A3LI0O659I8GFX",3,"Male",2,"154"
"133","AJH2N4RI8WA6U",3,"Male",2,"125"
"134","A20NITCOBY4775",9,"Female",2,"87"
"135","A2A3QA1VCMLUSX",3,"Female",2,"112"
"136","A1ING769NXJIHR",5,"Female",3,"69"
"137","A16FVD94WDZNAS",4,"Male",2,"83"
"138","A2LS0IJ90DA0UY",3,"Female",3,"67"
"139","A2P065E9CYMYJL",3,"Male",1,"201"
"140","A2CQP9DZSDUC5V",4,"Female",2,"167"
"141","AKNYT1NTK2UFK",4,"Female",3,"61"
"142","A2NMETDZGRDQ55",2,"Male",1,"62"
"143","A14NP6X071S7GK",3,"Male",2,"77"
"144","A2Z96TK65BB7LC",2,"Male",2,"134"
"145","A25AMA8W5ASH00",4,"Male",3,"204"
"146","A3GM78FCDY293T",6,"Male",5,"64"
"147","A4T1X0PO5N1G9",4,"Female",4,"174"
"148","A1JNC3HWWHJD2J",5,"Male",3,"173"
"149","A3GZYWA9S6J0K9",6,"Female",2,"15"
"150","A1MYLQQL8BBOYT",4,"Male",4,"92"
"151","A1MEONKK3AJGNK",4,"Male",5,"25"
"152","A14HWOXMI4R2ON",6,"Female",3,"55"
"153","A3862RIFFUV141",6,"Male",2,"105"
"154","A2BS7B4W5GCS4O",3,"Female",1,"36"
"155","A2JVT6YVJOB3G6",3,"Female",2,"156"
"156","A1LI3JQS2VBOXC",6,"Female",2,"46"
"157","A1OZPLHNIU1519",8,"Male",2,"66"
"158","A3ILHE9QEMS56D",4,"Female",3,"142"
"159","A248P03SBIGVNH",2,"Female",2,"45"
"160","A1G187YBG0DVMQ",2,"Male",3,"106"
"161","A1HU9IOTYXB4YY",3,"Female",4,"181"
"162","A2RVEG53L48BAE",4,"Male",2,"108"
"163","A3P74FP62XNVYI",9,"Male",2,"159"
"164","A3O8W872FSEQ9A",7,"Male",3,"198"
"165","A215VSM181SC0F",8,"Female",5,"127"
"166","A28ZPY6D5AS7GZ",6,"Male",3,"202"
"167","A1DNJ17PE2RYJZ",10,"Male",5,"75"
"168","A3J01A18AJBGKX",9,"Male",1,"44"
"169","A16UAN46CNIRHY",6,"Female",3,"88"
"170","A1F669OTXWIJW0",2,"Female",3,"21"
"171","A1UURQF07IOXBO",3,"Male",3,"82"
"172","A2TCIHHKLL8LQC",2,"Male",4,"20"
"173","A2A7VABUK61FFH",3,"Female",2,"169"
"174","A5VESE1IEUOVQ",4,"Female",4,"37"
"175","A1290Y66I4SF6C",2,"Male",2,"31"
"176","A61GHYNS1DFT7",2,"Male",3,"191"
"177","A2NFKOH8HAAL1P",9,"Male",4,"96"
"178","AAWMZ1HKXEFNY",5,"Male",2,"193"
"179","A2RMJNF6IPI42F",4,"Female",4,"148"
"180","ADKKDK6P4MS1Z",4,"Male",1,"168"
"181","A5EU1AQJNC7F2",3,"Female",1,"109"
"182","AJ34WB9Z37ILU",5,"Male",2,"4"
"183","A3V70AZ39FPZ5V",2,"Female",2,"10"
"184","A1QNSTTYHRGJAT",4,"Female",2,"43"
"185","A4E1UYPDHE8D8",4,"Male",3,"155"
"186","AZIAQJWXTSFUX",5,"Male",3,"8"
"187","A2BP89KJCCW13Y",2,"Female",2,"23"
"188","A3JJOUZ4NNTKWO",10,"Female",2,"42"
"189","A6ZAKE3FP8YKY",3,"Male",5,"115"
"190","AX0KHOWMMM6Z2",6,"Female",3,"54"
"191","A2K9BO7DWZLNMA",6,"Female",3,"129"
"192","A3ODPTJ09S6NCL",7,"Female",4,"70"
"193","AVZWILVYCMUQF",9,"Male",3,"78"
"194","A2DWPP1KKAY0HG",4,"Male",5,"65"
"195","A1TK0ZMZ571GG0",4,"Male",3,"27"
"196","AR7JOMZGYKZV",4,"Female",3,"76"
"197","A3TQ7M1WPR7Q44",8,"Female",3,"78"
"198","A2H90BPVE5L51U",2,"Female",3,"35"
"199","A19ARQGBT86K3D",4,"Female",1,"78"
"200","A273GB71FE8RIV",3,"Female",3,"68"
"201","A2A07J1P6YEW6Z",4,"Male",5,"18"
"202","A5DZDONM2Y082",4,"Female",3,"138"
"203","A1K4KR1GQYCIWA",7,"Female",5,"72"
"204","AOW8XHXW76DSF",2,"Male",1,"36"
"205","A1Q5KU5RVDE67",3,"Male",3,"1"
"206","AGBDM85RLYTGL",5,"Female",3,"120"
"207","A10VLJT7V96D9W",4,"Male",3,"7"
"208","A3A4EIML2KVC3D",2,"Female",2,"192"
"209","A3DFMWYTKJ57L",4,"Female",1,"17"
"210","A3MLN9LSE060F3",2,"Female",1,"53"
"211","A36zljpurt0ilp",6,"Male",2,"98"
